code	label_sv	comment_sv
dar	Darginska 	Även dargwa
day	Dayak	Även dajakiska
del	Delaware	
den	Slave	
dgr	Dogrib	
din	Dinka	
div	Divehi	
doi	Dogri	
dra	Dravidiska språk (övriga)	
dsb	Lågsorbiska	
dua	Duala	
dum	Medelnederländska 	Ca 1050-1350
dut	Nederländska	
dua	Dioula	Även dyula
dzo	dzongkha 	Även bhutanesiska
efi	Efik	
egy	Egyptiska	"Även fornegyptiska; hit bl.a. hieroglyglyfer samt hieatisk och demotisk skrift"
eka	Ekajuk	
elx	Elamitiska	
eng	Engelska	
enm	Medelengelska 	Ca 1100-1500
epo	Esperanto	
est	Estniska	
ewe	Ewe	
ewo	Ewondo	
fan	Fang	
fao	Färöiska	
fat	Fanti	
fij	Fidjianska	
fil	Filipino	
fin	Finska	
fiu	Finsk-ugriska språk (övriga)	
fon	Fon	
fre	Franska	
frm	Medelfranska 	Ca 1300-1600
fro	Fornfranska 	Ca 842-1300
frr	Nordfrisiska	
frs	Östfrisiska	
fry	Frisiska	
ful	Fula	
fur	Friuliska	
gaa	Ga	
gay	Gayo	
gba	Gbaya	
gem	Germanska språk (övriga)	
geo	Georgiska	
ger	Tyska	
gez	Ge'ez 	Även fornetiopiska
gil	Kiribatiska	Även gilbertesiska
gla	Skotsk gäliska	Även höglandsskotska
gle	Iriska	
glg	Galiciska	Även manniska
glv	Manx	
gmh	Medelhögtyska 	ca 1050-1500
goh	Fornhögtyska 	ca 750-1050
gon	Gond	
gor	Gorontalo	
got	Gotiska	
grb	Grebo	
grc	Grekiska, klassisk 	-1453
gre	Nygrekiska 	1453-
grn	Guaraní	
gsw	Schweizertyska	
guj	Gujarati	
gwi	Gwich'in	
hai	Haida	
hat	Haitisk kreol 	Även haitisk kreol
hau	Hausa	
haw	Hawaiiska	
heb	Hebreiska	
her	Herero	
hil	Hiligaynon	
him	Pahari 	Även himachali
hin	Hindi	
hit	Hettitiska språk	
hmn	Hmongspråk	
hmo	Hiri Motu	
hrv	Kroatiska	
hsb	Högsorbiska	
hun	Ungerska	
hup	Hupa	
iba	Iban	
ibo	Ibo 	Även igbo
ice	IslÃ¤ndska	
ido	Ido	
iii	Sichuan Yi	
ijo	Ijo	
iku	Inuktitut	
ile	Interlingue	Även occidental
ilo	Ilokano	Även ilocano
ina	Interlingua 	"International Auxiliary Language Association; konstgjort språk"
inc	Indo-ariska språk (övriga)	
ind	Indonesiska	
ine	Indoeuropeiska språk (övriga)	
inh	Ingusjiska	
ipk	Iñupiaq	Även inupiaq, inupiak, inupiatun
ira	Iranska språk (övriga)	
iro	Irokesiska språk (övriga)	
ita	Italienska	
jav	Javanska	
jbo	Lojban 	Konstgjort språk
jpn	Japanska	
jpr	Judepersiska	
jrb	Judearabiska	
kaa	Karakalpakiska	
kab	Kabyliska	
kac	Kachin	
kal	Grönländska 	Även kalaallisut
kam	Kamba	
kan	Kannada 	Även kanaresiska
kar	Karenspråk	
kas	Kashmiri	
kau	Kanuri	
kaw	Fornjavanska 	Även kawi
kaz	Kazakiska	Även kazach
kbd	Kabardinska 	Även östtjerkessiska, östcircassiska
kha	Khasi	
khi	Khoisanspråk	
khm	Kambodjanska 	Även khmer
kho	Sakiska 	Även khotanesiska, khotansakiska
kik	Kikuyu	Även gikuyu
kin	Rwanda	Även kinyarwanda
kir	Kirgiziska	
kmb	Mbundu 	Även kimbundu
kok	Konkani	
kom	Komi	
kon	Kikongo	Även koongo, kongo
kor	Koreanska	
kos	Kusaie	
kpe	Kpelle	
krc	Karatjajbalkariska	
krl	Karelska	
kro	Kruspråk (övriga)	
kru	indisk kurux	
kua	Oshiwambo 	Även oshivambo, ndongaspråk
kum	Kumyk	
kur	Kurdiska	
kut	Kutenai	
lad	Ladion 	Även judisk spanska
lah	Lahnda	
lam	Lamba 	Zambia och Kongo
lao	Laotiska	
lat	Latin	
lav	Lettiska	
lez	Lezginska	
lim	Limburgiska	
lin	Lingala	
lit	Litauiska	
lol	Mongo 	Även lolo
loz	Lozi	
ltz	Luxemburgiska 	Även lëtzebuergesch
lua	Luba-Lulua	
lub	Luba-Katanga	
lug	Luganda	Även ganda
lui	Luiseño	
lun	Lunda	
luo	Luo 	Kenya och Tanzania
lus	Mizo 	Lushai
mac	Makedonska	
mad	Maduresiska	Även madura
mag	Magahi	
mah	Marshallesiska	
mai	Maithili	
mak	Makasar	
mal	Malayalam	
man	Mande	
mao	Maori	
map	Austronesiska språk	
mar	Marathi	
mas	Maa	Även massaj
may	Malajiska	
mdf	Moksja	
mdr	Mandarin	
men	Mende	
mga	Medeliriska 	Ca 1100-1550
mic	Mi'kmaq	Även micmac
min	Minangkabau	
mis	Övriga språk	
mkh	Mon-khmerspråk (övriga)	
mlg	Malagassiska	
mlt	Maltesiska	
mnc	Manchuiska	Även manchuriska
mni	Meitei	Även manipuri, meiteilon
mno	Manobospråk	
moh	Mohawk	
mol	Moldaviska 	"Obsolet, använd ""rum"" (rumänska)"
mon	Mongoliska språk	
mos	Mòoré	Även mossi
mul	Flera språk	
mun	Mundaspråk (övriga)	
mus	Muskogeanska	
mwl	Mirandesiska	
mwr	Marwari	
myn	Mayaspråk	Även mayanska språk
myv	Erzya	Även erzia
nah	Nahuatl	Även aztekiska
nai	Nordamerikanska indianspråk (övriga)	
nap	Neapolitanska	Även napolitanska
nau	Nauruanska	
nav	Navajo	Även navaho
nbl	Sydndebele 	Sydafrika
nde	Nordndebele 	Zimbabwe
ndo	Ndonga	
nds	LÃ¥gtyska	
nep	Nepali	
new	Newari	
nia	Nias	
nic	Niger-/Kongospråk (övriga)	
niu	Niuean	
nno	Nynorska	"jfr ""nor"" (norska)"
nob	Bokmål 	"""nor"" (norska) föredras"
nog	Nogaiska	
non	Fornisländska	
nor	Norska	
nqo	N'Ko	
nso	Nordsotho	
nub	Nubiska språk	
nwc	Fornnewari	
nya	Chichewa	Även nyanja
nym	Nyamwezi	
nyn	Nyankole	
nyo	Nyoro	
nzi	Nzima	
oci	Occitanska 	"1500-; även langue d'oc"
oji	Ojibwa 	Även chippewa
ori	Oriya	
orm	Oromo	
osa	Osage	
oss	Ossetiska	
ota	Osmanska	Även ottomanska
oto	Otomispråk	
paa	Papuanska språk (övriga)	
pag	Pangasinan	
pal	Pahlavi 	Även medelpersiska
pam	Pampanga	
pan	Punjabi	Även panjabi
pap	Papiamento	
pau	Palauiska	
peo	Fornpersiska 	Ca 600-400 f.Kr.
per	Persiska	
phi	Filippinska språk (övriga)	
phn	Feniciska	Även puniska
pli	Pali	
pol	Polska	
pon	Pohnpei	Även ponape
por	Portugisiska	
pra	Prakritspråk	
pro	Provensalska 	Även provençalska
pus	Pashto	
que	Quechua	
rai	Gujuri 	"Obsolet; använd ""raj"" (rajasthani)"
raj	Rajasthani	
rap	Rapa nui	Även rapanui
rar	Rarotongesiska	
roa	Romanska språk (övriga)	
roh	Rätoromanska	
rom	Romani	
rum	Rumänska	
run	Kirundi	Även rundi
rup	Arumänska	Även aromuniska, aromaniska
rus	Ryska	
sad	Sandawe	
sag	Sango	
sah	Jakutiska	
sai	Sydamerikanskt indianspråk	
sal	Saliskt språk	
sam	Samaritanska	
san	Sanskrit	
sas	Sasak	
sat	Santali	
scn	Siciliansk italienska	
sco	Skotska	
sel	Selkup	
sem	Semitiskt språk	
sga	Forniriska 	-1100
sgn	Teckenspråk	
shn	Shan	
sid	Sidami	
sin	Singalesiska	
sio	Sioux-språk	
sit	Sino-tibetanskt språk	
sla	Slaviskt språk	
slo	Slovakiska	
slv	Slovenska	
sma	Sydsamiska	
sme	Nordsamiska	
smi	Samiskt språk 	"Används restriktivt; se ""smn"" (enaresamiska), ""smj"" (lulesamiska), ""sme"" (nordsamiska), ""sms"" (skoltsamiska) och ""sma"" (sydsamiska)"
smj	Lulesamiska	
smn	Enaresamiska	
smo	Samoanska	
sms	Skoltsamiska	
sna	Shona	
snd	Sindhi	
snk	Soninke	
sog	Sogdiska	
som	Somaliska	
son	Songhai	
sot	Sotho	
spa	Spanska	
srd	Sardiska	
srn	Sranan	
srp	Serbiska	
srr	Serer	
ssa	Nilo-sahariska språk (övriga)	
ssw	Swazi	
suk	Sukuma	
sun	Sundanesiska	
sus	Susu	
sux	Sumeriska	
swa	Swahili	
swe	Svenska	
syc	Syriska, klassisk	
syr	Syriska, modern	
tah	Tahitiska	
tai	Thaispråk	
tam	Tamil	
tat	Tatariska	
tel	Telugo	
tem	Temne	
ter	Tereno	
tet	Tetum	
tgk	Tadzjikiska	
tgl	Tagalog	
tha	Thailändska	
tib	Tibetanska	
tig	Tigré	
tir	Tigrinja	
tiv	Tivi	
tkl	Tokelauiska	
tlh	Klingon 	Konstgjort språk
tli	Tlingit	
tmh	Tamashek	
tog	Tonga 	Nyasa
ton	Tonga 	Tongaöarna
tpi	Tok Pisin	
tsi	Tsimshian	
tsn	Tswana	
tso	Tsonga	
tuk	Turkmeniska	
tum	Tumbuka	
tup	Tupíspråk	
tur	Turkiska	
tut	Altaiskt språk	
tvl	Tuvaluan	
twi	Twi	
tyv	Tuvinska	
udm	Udmurtiska 	Votjakiska
uga	Ugaritiska	
uig	Uiguriska	
ukr	Ukrainska	
umb	Umbundu	
und	Odefinierat språk	
urd	Urdu	
uzb	Uzbekiska	
vai	Vai	
ven	Venda	
vie	Vietnamesiska	
vol	Volapük	
vot	Votiska	
wak	Wakusjiskt språk	
wal	Walamo 	Wolayta
war	Waray	
was	Washo	
wel	Kymriska	
wen	Sorbiskt (vendiskt) språk	
wln	Vallonska	
wol	Wolof	
xal	Kalmuckiska	
xho	Xhosa	
yao	Yao 	Afrika
yap	Yap	
yid	Jiddisch	
yor	Yoruba	
ypk	Eskimåspråk 	Yupik-språk
zap	Zapotek	
zbl	Blissymboler	
zen	Zenaga	
zha	Zhuang	
znd	Zandespråk	
zul	Zulu	
zun	Zuni	
zxx	Icke-språkligt medium	
zza	Zaza	
|||	Inget försök att koda	
