LibrisID	Gammal URL	Ny URL
14698176	http://www.scb.se/statistik/_publikationer/AA0101_2013M06_TI_A06TI1306.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2013M06_TI_A06TI1306.pdf
14698174	http://www.scb.se/statistik/_publikationer/AA0101_2013M08_TI_A06TI1307.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2013M08_TI_A06TI1307.pdf
14803699	http://www.scb.se/statistik/_publikationer/AA0101_2013M09_TI_A06TI1308.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2013M09_TI_A06TI1308.pdf
14803722	http://www.scb.se/statistik/_publikationer/AA0101_2013M10_TI_A06TI1309.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2013M10_TI_A06TI1309.pdf
16247873	http://www.scb.se/Statistik/_Publikationer/AA0101_2013M11_TI_A06TI1310.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2013M11_TI_A06TI1310.pdf
16247946	http://www.scb.se/Statistik/_Publikationer/AA0101_2013M12_TI_A06TI1311.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2013M12_TI_A06TI1311.pdf
16247902	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M01_TI_A06TI1401.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M01_TI_A06TI1401.pdf
16248224	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M02_TI_A06TI1402.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M02_TI_A06TI1402.pdf
16308541	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M03_TI_A06TI1403.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M03_TI_A06TI1403.pdf
16479839	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M04_TI_A06TI1404.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M04_TI_A06TI1404.pdf
16645669	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M05_TI_A06TI1405.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M05_TI_A06TI1405.pdf
16905673	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M06_TI_A06TI1406.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M06_TI_A06TI1406.pdf
16909372	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M08_TI_A06TI1407.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M08_TI_A06TI1407.pdf
17417665	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M09_TI_A06TI1408.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M09_TI_A06TI1408.pdf
17417664	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M10_BI_A06TI1409.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M10_BI_A06TI1409.pdf
17417666	http://www.scb.se/Statistik/_Publikationer/AA0101_2014M11_BI_A06TI1410.pdf	http://share.scb.se/download.aspx?id=OV9997&file=AA0101_2014M11_BI_A06TI1410.pdf
